ticker,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
SPY,1.0,0.8353817248971124,0.8665426367221871,0.6077861652655229,0.8443133412437539,0.8876019535055194,0.9288039142009,0.6866295236597455,0.7019892246568186,0.5515219418514893,0.7891818723653957,0.8987913716050329
XLB,0.8353817248971124,1.0,0.6626430263285423,0.667140667784383,0.8063254224301198,0.8732227810028886,0.6886969272705171,0.6309874398846407,0.6534897468436232,0.5141718889960968,0.6828073224807496,0.7302024466372413
XLC,0.8665426367221871,0.6626430263285423,1.0,0.4326994914830134,0.6700167098836629,0.6886283774041773,0.8244937849604166,0.5350292675264092,0.5860287077257536,0.4279409744446142,0.6304134486988932,0.8113853593616019
XLE,0.6077861652655229,0.667140667784383,0.4326994914830134,1.0,0.6669475604825584,0.6634244185039975,0.4428947474084015,0.4028103288128149,0.432594526009727,0.35237252861415796,0.45338193661212084,0.4761003989591002
XLF,0.8443133412437539,0.8063254224301198,0.6700167098836629,0.6669475604825584,1.0,0.8666700135876605,0.6691525772238214,0.6014022027903888,0.6248152528311965,0.4731639284053769,0.6740494142489281,0.7273976832259114
XLI,0.8876019535055194,0.8732227810028886,0.6886283774041773,0.6634244185039975,0.8666700135876605,1.0,0.7423071783363612,0.6443244157543503,0.6714400752046884,0.5379898860446624,0.7048072659487519,0.7769992534841759
XLK,0.9288039142009,0.6886969272705171,0.8244937849604166,0.4428947474084015,0.6691525772238214,0.7423071783363612,1.0,0.5309670025927207,0.5642197487588142,0.4138086365079214,0.6553158964265511,0.8348551150121801
XLP,0.6866295236597455,0.6309874398846407,0.5350292675264092,0.4028103288128149,0.6014022027903888,0.6443244157543503,0.5309670025927207,1.0,0.6782410728922156,0.6866054130055655,0.6920441583874051,0.5653359769393199
XLRE,0.7019892246568186,0.6534897468436232,0.5860287077257536,0.432594526009727,0.6248152528311965,0.6714400752046884,0.5642197487588142,0.6782410728922156,1.0,0.7279452878890406,0.6331666850761181,0.6178176797942652
XLU,0.5515219418514893,0.5141718889960968,0.4279409744446142,0.35237252861415796,0.4731639284053769,0.5379898860446624,0.4138086365079214,0.6866054130055655,0.7279452878890406,1.0,0.5402476700695702,0.42317631270046735
XLV,0.7891818723653957,0.6828073224807496,0.6304134486988932,0.45338193661212084,0.6740494142489281,0.7048072659487519,0.6553158964265511,0.6920441583874051,0.6331666850761181,0.5402476700695702,1.0,0.6345570353227126
XLY,0.8987913716050329,0.7302024466372413,0.8113853593616019,0.4761003989591002,0.7273976832259114,0.7769992534841759,0.8348551150121801,0.5653359769393199,0.6178176797942652,0.42317631270046735,0.6345570353227126,1.0
