ticker,ann_return,ann_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,skewness,excess_kurtosis
SPY,0.134318,0.177106,0.5182,0.5818,0.3984,-0.337173,-0.3044,14.0395
XLB,0.090955,0.205307,0.2834,0.2717,0.244,-0.37274,-0.1853,8.9517
XLC,0.126091,0.223171,0.4201,0.4434,0.2703,-0.466536,-0.2944,6.7618
XLE,0.071897,0.29233,0.2137,0.098,0.1076,-0.66813,-0.43,13.1705
XLF,0.109139,0.218279,0.355,0.3468,0.2546,-0.428626,-0.2246,14.3993
XLI,0.123365,0.195675,0.4372,0.4812,0.2914,-0.423342,-0.2336,13.2389
XLK,0.209798,0.237381,0.7107,0.8753,0.6252,-0.33559,-0.0424,9.43
XLP,0.07595,0.145842,0.2322,0.2315,0.3098,-0.245123,-0.2373,13.9641
XLRE,0.07223,0.203907,0.1995,0.1367,0.186,-0.388248,-0.6909,15.2063
XLU,0.092934,0.189168,0.3002,0.2926,0.2577,-0.36067,-0.02,15.375
XLV,0.086889,0.16758,0.2828,0.2939,0.3059,-0.284043,-0.2369,8.3295
XLY,0.124716,0.214881,0.4222,0.4463,0.3144,-0.396695,-0.3571,8.2952
